t,k,v,q,exporter,importer
2018,391590,4.29981750161144,19.7288808058093,BLR,LVA
2018,391520,44.4997534074413,75.36050293687,BLR,LTU
2018,391590,102.098632603125,248.325376933969,BLR,LTU
2018,391530,8.02566957406506,42.52,BLR,PAK
2018,391510,10.9011253895197,18.5702832312392,BLR,POL
2018,391590,3.400027640207,12.6111692990683,BLR,POL
2018,391510,2159.29709255323,5073.52400545743,BLR,RUS
2018,391520,306.399079220551,506.999376389871,BLR,RUS
2018,391530,237.499224777411,546.600483689931,BLR,RUS
2018,391590,747.300971527056,1892.41909103449,BLR,RUS
2018,391510,438.003317305401,1061.5206848627,BLR,UKR
2018,391510,11.7997082508131,57.3694575140391,BLR,UZB
2018,391590,20.9020173287451,56.884,KHM,NLD
2018,391510,5.50189315265857,68.34,KHM,THA
2018,391590,6.23854552811177,81.63,KHM,THA
2018,391510,112.172,207.287,CMR,BEL
2018,391590,83.535,372.04,CMR,BEL
2018,391590,54.3166606103795,104.08,CMR,ESP
2018,391510,5.26663393944602,4.605,CAN,AUT
2018,391510,23.576,78.981,CAN,BGD
2018,391590,78.6,195.281,CAN,BGD
2018,391590,7.275,7.518,CAN,BRB
2018,391510,10.176,17.66,CAN,BEL
2018,391520,6.903,17.192,CAN,BEL
