iso3c,region_id,country_name,income_level,gdp,total_msw,recycled,waste_generation,mismanagement_rate,region,sub_region,C1_rate,population,gdp_per_capita,fraction_recycling_chemical,C2_rate,I_mismanagement_min,I_mismanagement_max
MOZ,SSF,Mozambique,LIC,14846071334.9796,2500000,0.01,198365.48,1,Africa,Sub-Saharan Africa,NA,27212382,545.563094586119,0,NA,0.25,0.75
MRT,SSF,Mauritania,LMC,5574151156.75208,454000,0.08,114598.4,0.567,Africa,Sub-Saharan Africa,NA,3506288,1589.7585015127336,0,NA,0.25,0.75
MUS,SSF,Mauritius,UMC,12409842083.119,438000,NA,54254.34,0.02,Africa,Sub-Saharan Africa,NA,1263473,9822.008134023441,0,NA,0,0
MYS,EAS,Malaysia,UMC,344052342367.514,12982685,0.175,2058501.3,0.19875,Asia,South-eastern Asia,0.24,30228017,11381.902503479272,0,0.24,0,0
NAM,SSF,Namibia,UMC,14950179756.803,256729,0.045,49176.11,0.975,Africa,Sub-Saharan Africa,NA,1559983,9583.552998207673,0,NA,0.25,0.75
NER,SSF,Niger,LIC,8106889865.37629,1865645.67,0.04,85628.3,0.98,Africa,Sub-Saharan Africa,NA,8842415,916.8185236020126,0,NA,0.25,0.75
NGA,SSF,Nigeria,LMC,456775408619.543,27614830.071849998,NA,1659502.46,0.82,Africa,Sub-Saharan Africa,NA,154402181,2958.3481636152733,0,NA,0.25,0.75
NIC,LCN,Nicaragua,LMC,11955466051.3827,1528816.29335,NA,205547.55,0.922,Americas,Latin America and the Caribbean,NA,5737723,2083.660373877007,0,NA,0.25,0.75
NOR,ECS,Norway,HIC,472765907756.79,2187000,0.2616,49877.98,0.0342,Europe,Northern Europe,NA,5188607,91116.15270857669,0,NA,0,0
NPL,SAS,Nepal,LIC,19856634052.5358,1768977.49,NA,267823.12,0.8988,Asia,Southern Asia,NA,28982771,685.1185503461971,0,NA,0.25,0.75
NZL,EAS,New Zealand,HIC,176128560656.594,3405000,NA,270550.16,0.02,Oceania,Australia and New Zealand,NA,4692700,37532.45693451403,0,NA,0,0
OMN,MEA,Oman,HIC,75054356306.8921,1734885.15,NA,405081.18,1,Asia,Western Asia,NA,3960925,18948.69413253018,0,NA,0.25,0.75
PAK,SAS,Pakistan,LMC,227866886765.975,30760000,0.08,2731768.29,0.72,Asia,Southern Asia,NA,193203476,1179.4140120231325,0,NA,0.25,0.75
PAN,LCN,Panama,HIC,44789036003.0978,1472262.2151499998,NA,181993.44,0.443,Americas,Latin America and the Caribbean,NA,3969249,11284.00763043533,0,NA,0.25,0.75
PER,LCN,Peru,UMC,193653231881.727,8356711.13,0.04,919222.14,0.5839,Americas,Latin America and the Caribbean,NA,30973354,6252.25256140252,0,NA,0.25,0.75
PHL,EAS,Philippines,LMC,284348525311.117,14631922.9,0.28,1543667.88,0.74,Asia,South-eastern Asia,NA,103320222,2752.109120624199,0,NA,0.25,0.75
PNG,EAS,Papua New Guinea,LMC,19389192290.7468,1000000,0.02,105240.8,0.39,Oceania,Melanesia,NA,7755785,2499.965160296063,0,NA,0.25,0.75
PRY,LCN,Paraguay,UMC,26400622642.9371,1818501.3647999999,NA,214189.11,0.254,Americas,Latin America and the Caribbean,NA,6639119,3976.5249941953293,0,NA,0.25,0.75
PSE,MEA,West Bank and Gaza,LMC,11767216976.1681,1387000,0.005,231306.64,0.69,Asia,Western Asia,NA,4046901,2907.710610209664,0,NA,0.25,0.75
