country,income_id,population,plastic_waste,msw,percent_composition_plastic_msw,plastic_waste_per_capita,mismanaged_waste,iso3_digit_alpha
Kiribati,LMC,112524,5894.46,35724,16.5,52.38,NA,KIR
Seychelles,HIC,94677,5338.18,53921,9.9,56.38,NA,SYC
Grenada,UMC,110261,5306.88,32359,16.4,48.13,0.035,GRD
Northern Mariana Islands,HIC,56188,5102.13,30922,16.5,90.8,0.66,MNP
Andorra,HIC,77297,4926.12,43594,11.3,63.73,0.499,AND
Comoros,LIC,795592,4656.7,93134,5,5.85,NA,COM
Vanuatu,LMC,278330,4529.51,70225,6.45,16.27,0.65,VUT
Antigua and Barbuda,HIC,94527,4321.07,33239,13,45.71,0.0324,ATA
Curacao,HIC,159664,3973.38,31787,12.5,24.89,1,CUW
Samoa,UMC,194535,3765.32,28964,13,19.36,0.35,WSM
Palau,HIC,17725,3016.64,9427,32,170.19,NA,PLW
Gibraltar,HIC,33737,2975.49,18761,15.86,88.2,NA,GIB
French Polynesia,HIC,274575,2791.7,139585,2,10.17,0.63,PYF
St. Vincent and the Grenadines,UMC,109459,2667.92,31761,8.4,24.37,0.305775,VCT
Sao Tome and Principe,LMC,203227,2645.9,26999,9.8,13.02,NA,STP
British Virgin Islands,HIC,29355,2643.48,41960,6.3,90.05,0.217,VGB
American Samoa,UMC,55741,2430.59,18989,12.8,43.61,NA,ASM
Tonga,UMC,101133,2391.77,17849,13.4,23.65,0.72,TON
Dominica,UMC,71307,2166.72,13542,16,30.39,0.08,DMA
Greenland,HIC,56186,1286.42,53601,2.4,22.9,0.02,GRL
Marshall Islands,UMC,57735,1126.58,8666,13,19.51,0.652,MHL
San Marino,HIC,33504,961.8,17175,5.6,28.71,0.5695,SMR
Nauru,UMC,13049,888.36,5384,16.5,68.08,NA,NRU
Tuvalu,UMC,11225,658.19,3989,16.5,58.64,0.87,TUV
Turks and Caicos Islands,HIC,36559,NR,NR,16.3,NR,NA,TCA
